gender,weight_class,red_fid,r_fighter,blue_fid,b_fighter,rounds,Referee,bout_month,bout_day,bout_year,city,country,is_title_bout,winner,win_by,last_round
M,135.0,3553,Adrian Yanez,1861,Gustavo Lopez,3.0,Chris Tognoni,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,3
M,185.0,1104,Trevin Giles,800,Roman Dolidze,3.0,Herb Dean,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,3
M,265.0,3298,Tai Tuivasa,1424,Harry Hunsucker,3.0,Herb Dean,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
F,115.0,425,Cheyanne Buys,596,Montserrat Conejo,3.0,Mark Smith,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
F,135.0,2653,Marion Reneau,537,Macy Chiasson,3.0,Mark Smith,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Unanimous,3
M,155.0,2861,Leonardo Santos,715,Grant Dawson,3.0,Chris Tognoni,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,3
M,170.0,3056,Song Kenan,1198,Max Griffin,3.0,Keith Peterson,3.0,20.0,2021.0,Las Vegas,USA,0.0,blue,KO/TKO,1
M,185.0,388,Derek Brunson,1369,Kevin Holland,5.0,Herb Dean,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,Decision - Unanimous,5
M,135.0,1483,Montel Jackson,3142,Jesse Strader,3.0,Keith Peterson,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,1
M,125.0,2996,Bruno Silva,427,JP Buys,3.0,Mark Smith,3.0,20.0,2021.0,Las Vegas,USA,0.0,red,KO/TKO,2
M,125.0,1594,Manel Kape,2308,Matheus Nicolau,3.0,,3.0,13.0,2021.0,Las Vegas,USA,0.0,blue,Decision - Split,3
