Metric,gender,r_fighter,b_fighter,Referee,city,country,winner,win_by
1-mode,M,Jim Miller,Jeremy Stephens,Herb Dean,Las Vegas,USA,red,Decision - Unanimous
1-mode_freq,0.919407611503358,0.004305148958153952,0.0036163251248493198,0.1434475632856897,0.260375408989151,0.6511107284312038,0.6555880833476838,0.35353883244360257
2-mode,F,Andrei Arlovski,Charles Oliveira,John McCarthy,Abu Dhabi,Brazil,blue,KO/TKO
2-mode_freq,0.08059238849664198,0.004132942999827794,0.0032719132081970035,0.09109695195453762,0.02961942483209919,0.07267091441363871,0.32598587911141724,0.31703116927845704
antimode,F,Yoshiki Takahashi,Wallid Ismail,Shawn Gregory,Chiba,Philippines,none,Could Not Continue
a-mode_freq,0.08059238849664198,0.00017220595832615808,0.00017220595832615808,0.00017220595832615808,0.0006888238333046323,0.002066471499913897,0.018426037540898915,0.0029275012915446876
n_missing,0,0,0,32,0,0,0,0
missing_pct,0.0,0.0,0.0,0.005510590666437058,0.0,0.0,0.0,0.0
n_unique,2,1479,1906,202,158,25,3,9
unique_pct,0.00034441191665231615,0.2546926123643878,0.3282245565696573,0.034785603581883935,0.02720854141553298,0.004305148958153952,0.0005166178749784743,0.0015498536249354228
