fighter_id,fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc
1,Papy Abedi,71.0,185.0,,Southpaw,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,6.0,30.0,1978.0,4,1,3,0
2,Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,2.45,44.0,2.45,58.0,1.23,24.0,47.0,0.2,9.0,2.0,1981.0,8,5,3,0
3,Danny Abbadi,71.0,155.0,,Orthodox,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,7.0,3.0,1983.0,2,0,2,0
5,Ricardo Abreu,71.0,185.0,,Orthodox,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,4.0,27.0,1984.0,2,1,1,0
6,Daichi Abe,71.0,170.0,71.0,Orthodox,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0,11.0,27.0,1991.0,3,1,2,0
7,David Abbott,72.0,265.0,,Switch,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0,,,,18,8,10,0
8,Klidson Abreu,72.0,205.0,74.0,Orthodox,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,12.0,24.0,1992.0,4,1,2,1
10,Scott Adams,72.0,225.0,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,0,0
11,Juan Adams,77.0,265.0,80.0,Orthodox,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0,1.0,16.0,1992.0,4,1,3,0
13,Sam Adkins,75.0,225.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,1965.0,2,0,2,0
14,Israel Adesanya,76.0,185.0,80.0,Switch,3.95,49.0,2.63,61.0,0.0,0.0,82.0,0.3,7.0,22.0,1989.0,10,9,1,0
15,Zarrukh Adashev,65.0,125.0,65.0,Southpaw,1.93,23.0,3.35,60.0,0.0,0.0,0.0,0.0,7.0,29.0,1992.0,2,0,2,0
16,Marcelo Aguiar,70.0,170.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,1,0
17,Nick Agallar,68.0,155.0,,Orthodox,0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0,1.0,13.0,1979.0,1,0,1,0
18,Mariya Agapova,66.0,125.0,68.0,Southpaw,3.7,50.0,4.15,47.0,1.23,66.0,33.0,0.6,4.0,7.0,1997.0,2,1,1,0
21,Jessica Aguilar,63.0,115.0,63.0,Orthodox,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2,5.0,8.0,1982.0,5,1,4,0
22,Kevin Aguilar,67.0,155.0,73.0,Orthodox,3.69,37.0,4.47,53.0,0.19,25.0,87.0,0.0,9.0,7.0,1988.0,5,2,3,0
23,Christian Aguilera,69.0,170.0,72.0,Switch,3.35,41.0,4.89,46.0,0.0,0.0,0.0,0.0,11.0,25.0,1991.0,2,1,1,0
26,Rostem Akman,70.0,170.0,72.0,Switch,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0,12.0,19.0,1991.0,2,0,2,0
