Metric,fighter_id,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc
count,2139.0,2126.0,2129.0,1490.0,2139.0,2139.0,2139.0,2139.0,2139.0,2139.0,2139.0,2139.0,1998.0,1998.0,1998.0,2139.0,2139.0,2139.0,2139.0
mean,1801.7779336138383,70.34242709313264,171.77172381399717,71.86375838926175,2.7830201028518,39.83356708742403,3.25247311827957,49.19074333800842,1.3700981767180924,32.23328658251519,48.16923796166433,0.6402524544179523,6.616616616616617,15.916416416416416,1984.162162162162,5.621318373071529,2.759233286582515,2.759233286582515,0.10285179990649837
std,1043.3369783005264,3.4694439680766234,40.119810334603876,4.169619160579466,1.699652428307403,15.364494895912204,1.9564119734173397,16.8240798173818,1.5253307205350255,26.945399092812966,30.68405289230838,1.1606754798560657,3.342742145565789,8.749076538766394,6.807440164417011,5.476254886160641,3.644196864467192,2.213679422772282,0.33179826110358274
min,1.0,60.0,115.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1943.0,1.0,0.0,0.0,0.0
25%,904.0,68.0,145.0,69.0,1.68,35.0,2.2,45.0,0.0,0.0,25.0,0.0,4.0,8.0,1980.0,2.0,0.0,1.0,0.0
50%,1813.0,70.0,170.0,72.0,2.73,42.0,3.06,53.0,1.0,33.0,54.0,0.3,7.0,16.0,1985.0,4.0,1.0,2.0,0.0
75%,2708.5,73.0,185.0,75.0,3.705,49.0,4.07,59.0,2.065,50.0,70.0,0.9,9.0,24.0,1989.0,7.0,4.0,4.0,0.0
max,3594.0,83.0,770.0,84.0,19.91,100.0,23.33,100.0,14.19,100.0,100.0,21.9,12.0,31.0,1999.0,36.0,23.0,17.0,3.0
n_missing,0.0,13.0,10.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.0,0.0,0.0,0.0,0.0
missing_pct,0.0,0.006077606358111267,0.004675081813931743,0.3034128097241702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06591865357643759,0.06591865357643759,0.06591865357643759,0.0,0.0,0.0,0.0
n_unique,2139.0,23.0,79.0,26.0,576.0,77.0,604.0,74.0,455.0,81.0,91.0,64.0,12.0,31.0,41.0,34.0,24.0,16.0,4.0
unique_pct,1.0,0.010752688172043012,0.03693314633006078,0.012155212716222535,0.26928471248246844,0.035998129967274424,0.2823749415614773,0.0345956054230949,0.21271622253389436,0.037868162692847124,0.04254324450677887,0.029920523609163162,0.005610098176718092,0.014492753623188406,0.01916783543712015,0.015895278167367927,0.011220196353436185,0.0074801309022907905,0.0018700327255726976
