fighter_id,fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc,winning_pct,strike_throughput,offense_vol,brawler_rating
1,Papy Abedi,71.0,185.0,73.06925310521412,Southpaw,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,6.0,30.0,1978.0,4,1,3,0,0.25,5.949999999999999,6.357692307692306,3.0146984063400577
2,Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,2.45,44.0,2.45,58.0,1.23,24.0,47.0,0.2,9.0,2.0,1981.0,8,5,3,0,0.625,4.9,5.022222222222222,4.183740837398374
3,Danny Abbadi,71.0,155.0,72.54211066791203,Orthodox,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,7.0,3.0,1983.0,2,0,2,0,0.0,7.7,7.7,inf
5,Ricardo Abreu,71.0,185.0,73.06925310521412,Orthodox,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,4.0,27.0,1984.0,2,1,1,0,0.5,7.77,8.011880341880342,4.347888323943662
6,Daichi Abe,71.0,170.0,71.0,Orthodox,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0,11.0,27.0,1991.0,3,1,2,0,0.3333333333333333,8.29,8.318205128205127,25.12121312121212
8,Klidson Abreu,72.0,205.0,74.0,Orthodox,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,12.0,24.0,1992.0,4,1,2,1,0.25,4.949999999999999,5.004700854700854,7.734375999999999
11,Juan Adams,77.0,265.0,80.0,Orthodox,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0,1.0,16.0,1992.0,4,1,3,0,0.25,11.149999999999999,11.227777777777776,12.25274825274725
13,Sam Adkins,75.0,225.0,77.44836468260327,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,1965.0,2,0,2,0,0.0,0.0,0.0,
14,Israel Adesanya,76.0,185.0,80.0,Switch,3.95,49.0,2.63,61.0,0.0,0.0,82.0,0.3,7.0,22.0,1989.0,10,9,1,0,0.9,6.58,6.605641025641026,inf
15,Zarrukh Adashev,65.0,125.0,65.0,Southpaw,1.93,23.0,3.35,60.0,0.0,0.0,0.0,0.0,7.0,29.0,1992.0,2,0,2,0,0.0,5.28,5.28,inf
17,Nick Agallar,68.0,155.0,69.78491942217224,Orthodox,0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0,1.0,13.0,1979.0,1,0,1,0,0.0,5.25,5.25,inf
18,Mariya Agapova,66.0,125.0,68.0,Southpaw,3.7,50.0,4.15,47.0,1.23,66.0,33.0,0.6,4.0,7.0,1997.0,2,1,1,0,0.5,7.8500000000000005,8.006410256410257,6.982114821138212
21,Jessica Aguilar,63.0,115.0,63.0,Orthodox,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2,5.0,8.0,1982.0,5,1,4,0,0.2,12.120000000000001,12.217435897435898,13.093618021276596
22,Kevin Aguilar,67.0,155.0,73.0,Orthodox,3.69,37.0,4.47,53.0,0.19,25.0,87.0,0.0,9.0,7.0,1988.0,5,2,3,0,0.4,8.16,8.176239316239316,42.94736942105263
23,Christian Aguilera,69.0,170.0,72.0,Switch,3.35,41.0,4.89,46.0,0.0,0.0,0.0,0.0,11.0,25.0,1991.0,2,1,1,0,0.5,8.24,8.24,inf
26,Rostem Akman,70.0,170.0,72.0,Switch,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0,12.0,19.0,1991.0,2,0,2,0,0.0,5.7700000000000005,5.855470085470086,5.770001000000001
27,Omari Akhmedov,72.0,185.0,73.0,Orthodox,2.95,35.0,2.59,57.0,2.63,49.0,65.0,0.3,10.0,12.0,1987.0,14,9,4,1,0.6428571428571429,5.54,5.7904273504273505,2.406464878326996
28,Razak Al-Hassan,74.0,205.0,76.17787264248862,Orthodox,3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0,5.0,14.0,1982.0,2,0,2,0,0.0,6.41,6.4655555555555555,9.861539461538461
29,Yoshihiro Akiyama,70.0,170.0,75.0,Orthodox,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,7.0,29.0,1975.0,7,2,5,0,0.2857142857142857,6.720000000000001,7.001196581196582,3.934498816593887
31,Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1.36,19.0,3.61,53.0,0.0,0.0,0.0,0.0,7.0,14.0,1973.0,3,0,3,0,0.0,4.97,4.97,inf
33,Heili Alateng,65.0,135.0,66.0,Orthodox,2.87,32.0,5.82,57.0,2.33,35.0,100.0,0.0,12.0,14.0,1991.0,3,2,1,0,0.6666666666666666,8.690000000000001,8.8891452991453,3.72961473390558
35,Amir Albazi,65.0,125.0,68.0,Orthodox,4.06,40.0,3.15,58.0,2.28,75.0,66.0,0.8,10.0,27.0,1993.0,2,2,0,0,1.0,7.209999999999999,7.473247863247862,3.962281701754386
37,John Albert,68.0,135.0,68.0,Orthodox,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,10.0,13.0,1986.0,5,1,4,0,0.2,5.869999999999999,6.3913675213675205,inf
38,Aleksandra Albu,62.0,115.0,63.0,Orthodox,4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4,7.0,14.0,1990.0,4,2,2,0,0.5,10.39,10.618205128205128,4.977093511013217
39,Junior Albini,75.0,264.0,74.0,Orthodox,3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0,3.0,15.0,1991.0,5,1,4,0,0.2,10.06,10.191623931623932,6.532468532467533
42,Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,11.0,18.0,1982.0,7,4,3,0,0.5714285714285714,4.56,4.8078632478632475,3.180001
43,Alfonso Alcarez,63.0,145.0,65.01388653350523,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1970.0,1,0,0,1,0.0,0.0,0.0,
44,Iuri Alcantara,69.0,135.0,71.0,Southpaw,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,8.0,4.0,1980.0,18,10,7,1,0.5555555555555556,5.51,5.701452991452991,4.626389888888889
45,Gilbert Aldana,73.0,250.0,76.0495225498618,Orthodox,2.91,54.0,6.26,26.0,2.57,40.0,33.0,0.0,8.0,25.0,1977.0,2,0,2,0,0.0,9.17,9.389658119658119,3.568094385214008
46,Hector Aldana,71.0,170.0,72.0,Orthodox,3.59,38.0,5.08,59.0,0.93,100.0,0.0,0.0,8.0,17.0,1988.0,3,0,3,0,0.0,8.67,8.74948717948718,9.32258164516129
47,Irene Aldana,69.0,135.0,68.0,Orthodox,5.52,38.0,5.97,61.0,0.23,50.0,84.0,0.1,3.0,26.0,1988.0,9,5,4,0,0.5555555555555556,11.489999999999998,11.518205128205127,50.05652273913042
